Serial;Serial Resposta;Software;Marca;Modelo;Status;Local Fisico;Data Compra;Data Envio;Data Cobranca;Valor Cobranca;Forma Aquisicao;Local Cobranca;Operadora;Serial Chip;PDV
'11327PS30600848';'11327PS30600848';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11327PS30600852';'11327PS30600852';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2014;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11327PS30600860';'11327PS30600860';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11328PS30599910';'11328PS30599910';Sem Info;INGENICO;SAGEM EFT 930;ESTOQUE;BAIXA DE POS;01/01/2012;15/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12189CT31004513';'12189CT31004513';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2016;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';017405;
'12193PS30645171';'12193PS30645171';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2014;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646386';'12208PS30646386';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;BOLT_ADM;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646394';'12208PS30646394';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2013;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646399';'12208PS30646399';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2013;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646507';'12208PS30646507';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646533';'12208PS30646533';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646537';'12208PS30646537';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646540';'12208PS30646540';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646551';'12208PS30646551';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2014;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646557';'12208PS30646557';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646567';'12208PS30646567';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646569';'12208PS30646569';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646571';'12208PS30646571';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646574';'12208PS30646574';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2014;05/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646577';'12208PS30646577';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646579';'12208PS30646579';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646585';'12208PS30646585';Sem Info;INGENICO;SAGEM EFT 930;CONFIGURADO;Sem Info;01/01/2012;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';018900;
'12208PS30646588';'12208PS30646588';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646589';'12208PS30646589';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2014;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646593';'12208PS30646593';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;RESSARCIMENTOS;01/01/2014;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12208PS30646599';'12208PS30646599';Sem Info;INGENICO;SAGEM EFT 930;CONFIGURADO;Sem Info;01/01/2012;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';015147;
'12353CT31214148';'12353CT31214148';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/1900;01/01/2015;109,90;Aluguel;Brasilcard;;'';010848;
'12356CT31219546';'12356CT31219546';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;BAIXA DE POS;01/01/2015;04/02/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12356CT31219604';'0000135631219604';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12356CT31219643';'12356CT31219643';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;12/09/2022;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12356CT31219674';'0000135631219674';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;BAIXA DE POS;01/01/2015;31/01/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'12356CT31219684';'12356CT31219684';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31219604';'13011CT31219604';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2014;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';010998;
'13011CT31229899';'13011CT31229899';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31229923';'13011CT31229923';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;10/02/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31229983';'13011CT31229983';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/1900;01/01/2015;109,90;Aluguel;Brasilcard;;'';014611;
'13011CT31229996';'13011CT31229996';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2016;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230018';'13011CT31230018';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230034';'13011CT31230034';CLOUDWALK;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;30/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230074';'13011CT31230074';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;23/09/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230081';'13011CT31230081';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230085';'13011CT31230085';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/1900;01/01/2015;109,90;Aluguel;Brasilcard;;'';012821;
'13011CT31230090';'13011CT31230090';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2016;30/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230092';'13011CT31230092';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/1900;01/01/2015;109,90;Aluguel;Brasilcard;;'';012035;
'13011CT31230093';'13011CT31230093';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230095';'13011CT31230095';CLOUDWALK;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230100';'13011CT31230100';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230104';'13011CT31230104';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;03/10/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230112';'13011CT31230112';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230114';'13011CT31230114';Sem Info;INGENICO;ICT 220;ESTOQUE;RESSARCIMENTOS;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230121';'13011CT31230121';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230130';'13011CT31230130';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;30/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230135';'13011CT31230135';CLOUDWALK;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230137';'13011CT31230137';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/2015;01/01/2017;109,90;Aluguel;Brasilcard;;'';014450;
'13011CT31230173';'13011CT31230173';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;30/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230234';'13011CT31230234';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;19/12/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230242';'13011CT31230242';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;RESSARCIMENTOS;01/01/2015;30/01/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230260';'13011CT31230260';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230269';'13011CT31230269';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230282';'13011CT31230282';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/1900;01/01/2015;109,90;Aluguel;Brasilcard;;'';013854;
'13011CT31230296';'13011CT31230296';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230299';'13011CT31230299';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230306';'13011CT31230306';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230307';'13011CT31230307';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230344';'13011CT31230344';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13011CT31230408';'13011CT31230408';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2016;29/08/2017;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13012CT31230452';'13012CT31230452';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';013568;
'13039CT31286897';'13039CT31286897';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13039CT31288224';'13039CT31288224';EXPANSIVA;INGENICO;ICT 220;CONFIGURADO;LOJISTA;01/01/2015;02/01/2024;01/01/2024;109,90;Aluguel;Brasilcard;;'';014342;
'13044CT31288991';'13044CT31288991';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2016;29/08/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13044CT31289383';'0000135631289383';CLOUDWALK;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31319981';'0000135631319981';EXPANSIVA;INGENICO;ICT 220;CONFIGURADO;LOJISTA;01/01/2015;24/10/2019;24/10/2019;109,90;Aluguel;Brasilcard;;'';022280;
'13058CT31321157';'13058CT31321157';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321161';'0000135631321161';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321168';'13058CT31321168';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;30/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321175';'13058CT31321175';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2016;30/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321246';'13058CT31321246';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321248';'13058CT31321248';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321259';'13058CT31321259';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321269';'13058CT31321269';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321272';'13058CT31321272';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;BAIXA DE POS;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321595';'13058CT31321595';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321664';'13058CT31321664';Sem Info;INGENICO;ICT 220;ESTOQUE;RESSARCIMENTOS;01/01/2017;13/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321688';'13058CT31321688';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2016;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';016629;
'13058CT31321710';'13058CT31321710';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321734';'13058CT31321734';Sem Info;INGENICO;ICT 220;ESTOQUE;RESSARCIMENTOS;01/01/2015;12/09/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321759';'13058CT31321759';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321827';'13058CT31321827';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321837';'13058CT31321837';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321848';'13058CT31321848';CLOUDWALK;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321890';'13058CT31321890';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2016;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321946';'13058CT31321946';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321973';'13058CT31321973';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;05/04/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321987';'13058CT31321987';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321989';'13058CT31321989';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321991';'13058CT31321991';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321995';'13058CT31321995';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321997';'0000135631321997';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2016;13/02/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31321999';'13058CT31321999';Sem Info;INGENICO;ICT 220;CONFIGURADO;LOJISTA;01/01/2015;05/09/2019;05/09/2019;89,90;Aluguel;Brasilcard;VIVO;'89550534150015811454';032192;
'13058CT31322015';'13058CT31322015';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2016;04/10/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31322057';'13058CT31322057';Sem Info;INGENICO;ICT 220;ESTOQUE;OGEA_CAÇA POS;01/01/2017;28/11/2024;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31322065';'13058CT31322065';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31322119';'13058CT31322119';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;01/01/2016;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'13058CT31322129';'13058CT31322129';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';015523;
'13058CT31322186';'13058CT31322186';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
